"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"22","Louisiana",2018,4659978,2276530,153089,151553,166020,92873,68763,36235,29643,87218,163846,156251,158319,132607,136781,139492,144624,60066,83651,51672,67480,83012,53501,34146,25688,2383448,148768,145886,151910,87486,59004,37626,30796,87375,165061,160097,159155,139633,142386,148654,158965,62869,92666,56275,76474,99984,74873,49349,48156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Maine",2018,1338404,655734,32681,35539,36361,23815,17187,5769,8503,23069,40656,40084,40691,35497,41871,46768,49118,22148,31104,21161,24204,32768,19942,14148,12650,682670,30729,32321,36188,20918,15405,6051,7772,22714,39046,40158,39377,37871,43061,48766,56096,22043,32958,21098,25935,38787,25907,17270,22199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maryland",2018,6042718,2930350,185415,185432,197782,115720,78500,41142,37650,114420,209609,202406,200185,178313,194391,202578,197995,74958,112375,60226,77486,110031,70800,44601,38335,3112368,176020,179139,187695,111152,74356,35633,40093,115230,204779,209732,210546,186035,206174,219597,220079,84458,122088,70411,94983,133305,98359,62324,70180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Massachusetts",2018,6902149,3350887,182455,185390,204145,126133,103995,48367,55677,140991,256362,241072,213494,198766,215612,232939,239151,87142,126406,70517,98793,133975,84126,55229,50150,3551262,174768,183888,188453,121894,105319,51699,48779,147468,250753,242145,222349,207531,227884,245116,251438,95405,141622,85787,110663,156811,112022,75889,103579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Michigan",2018,9995915,4926816,292256,295210,322007,199880,137584,77705,69653,206191,354750,304303,306002,273277,311401,326625,342639,141862,196268,117273,155993,203547,141323,81132,69935,5069099,276927,291801,297048,189136,133928,72428,72419,191896,334531,297769,295970,290313,318675,334058,358117,148482,214351,127588,170220,234565,165797,118722,134358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Minnesota",2018,5611179,2793980,181160,183282,190493,112038,71688,40771,35126,106809,191683,195563,195164,166551,170628,176633,200627,74041,98669,62416,82302,100755,71341,43322,42918,2817199,173772,177431,179874,103997,68665,35794,36746,104304,183843,188452,188855,164397,165919,176500,200453,71905,110712,64327,86993,113693,84721,63391,72455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2976149,1434957,90762,94244,107137,59725,51201,21585,22531,59106,92409,86047,90800,92039,88500,85739,91620,38838,51329,31890,42599,58201,40143,21492,17020,1541192,88735,96033,104127,57657,46075,27444,17595,52528,97686,92085,99829,96942,95138,92180,101101,37698,62880,38070,49638,68666,50082,31602,37401
"29","Missouri",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6137428,3008169,186251,197748,199258,119063,84563,40997,46564,112148,210654,202525,201992,175771,178397,181189,205449,84741,114061,64475,95546,122758,86101,52694,45224,3129259,179200,183070,192512,115593,79016,37389,39465,118429,210758,199785,200952,177994,184351,186708,214845,86487,131560,75825,102759,147887,113042,75195,76437
"30","Montana",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1068778,537170,31120,33055,32944,19808,17109,6163,8438,21087,34834,32603,35849,33272,29008,29376,34248,16061,23011,14173,20715,27423,19760,8833,8280,531608,27730,28768,34839,18260,14836,5947,6912,19812,33729,31953,32418,30933,29100,29694,38366,17196,22390,16299,19376,28502,19914,11954,12680
"31","Nebraska",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1934408,966650,67748,67190,70679,39221,29070,14803,13956,39678,65050,65583,66078,57568,54714,55768,58048,25243,35830,20225,27418,37416,24601,16300,14463,967758,61803,64673,66153,37629,25754,12592,12811,38878,65684,61614,65398,54008,52269,53348,61933,24625,36714,21118,30804,42084,27856,23085,26925
"32","Nevada",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3080156,1544779,94610,92778,107967,57452,36663,18793,21244,53656,114131,115321,109751,98242,101737,99155,97978,37068,54009,33871,46721,64613,46089,24975,17955,1535377,89558,92546,98714,57112,33439,19285,18211,51662,110251,109352,107255,95073,99451,95761,99936,37956,55820,38396,47736,74506,49882,28638,24837
"33","New Hampshire",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1359711,672960,32816,35355,37664,24768,18863,10255,7106,26922,45463,43142,38637,40817,42509,48113,54553,21965,28965,16969,24497,31589,19516,12070,10406,686751,31384,31646,39046,23341,20414,8778,8375,23228,40475,41650,40938,38593,43534,47973,56250,21738,31288,17879,24342,36774,23571,17073,18461
"34","New Jersey",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8882190,4342591,261545,271967,283870,174194,112327,55431,56243,160940,292669,289356,286160,282837,287822,299463,299622,119621,170810,95868,122603,167409,112505,73218,66111,4539599,250380,252625,279334,164109,104576,51455,53923,158042,284280,282153,290681,284426,297062,315629,320630,130969,181964,102349,143655,205118,152266,106074,127899
"35","New Mexico",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096829,1036708,60204,67458,72416,42166,33797,13367,14824,41254,72937,68957,70216,62584,58492,56419,63747,26786,38578,24618,33381,47634,31681,19657,15535,1060121,56774,63293,73791,37748,25475,13972,12975,41327,70080,66653,71338,57709,59498,60666,68619,27983,46996,26803,40016,51559,38646,23237,24963
"36","New York",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19453561,9450810,573384,540368,596605,351883,254957,132225,120857,379723,728335,707042,625275,572584,581534,619252,633557,254070,357358,208469,269307,379081,251402,158705,154837,10002751,546441,511795,567618,334002,246426,123420,127320,381803,731120,698904,630965,601282,615067,655814,686114,279229,391264,230520,310006,466509,332126,250211,284795
"37","North Carolina",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10488084,5094327,308544,315965,346689,200951,158488,73745,77086,214451,352172,333734,315351,322114,337091,327413,332743,131308,180801,110628,145759,221189,138247,82760,67098,5393757,288039,299578,339998,194208,159419,71652,63307,188887,362854,352903,341829,333367,355133,343563,367738,146356,199672,130484,175237,264193,181367,116777,117196
"38","North Dakota",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762062,388339,26786,24892,25861,12619,11315,6273,5523,20555,34088,28495,28121,22468,18582,20206,22647,11100,13636,8596,11659,12926,10030,5799,6162,373723,23781,24061,24554,14152,8847,5693,5932,16843,29848,25143,26041,19407,18489,19251,24549,9838,12289,9657,10745,13698,10967,8025,11913
"39","Ohio",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11689100,5732207,355506,353621,383722,227523,162586,84126,80167,213988,402444,375956,354517,343040,357631,360877,389514,155281,231795,136875,177153,240416,161085,99286,85098,5956893,331166,336567,368667,218075,158086,81658,76992,206845,392171,374146,366641,339950,360472,372359,403862,175196,250405,147595,203078,282524,208060,144504,157874
"40","Oklahoma",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3956971,1962477,130048,137449,143452,81215,59643,28971,32663,79867,138539,133396,132251,119490,114301,110400,121182,47649,67993,39602,56660,75770,53899,31868,26169,1994494,121035,125304,136739,76987,55782,29150,28207,71215,132953,132111,132234,117541,115853,112166,128816,50228,76919,44030,63105,89296,60632,46087,48104
"41","Oregon",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4217737,2089676,114965,120858,131187,75494,51381,26998,29512,80024,151212,152586,150976,139026,132344,125315,127897,51817,78339,53199,67409,98781,58773,39833,31750,2128061,108399,114532,123702,73679,49276,26644,29918,73050,145182,145605,153447,135397,130010,123352,131958,58461,87698,55262,79194,113414,73671,42273,53937
"42","Pennsylvania",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12801989,6272527,356756,359022,397027,234239,172053,85207,81537,239793,439636,429903,403156,356156,383106,410099,439223,175737,262425,153870,203401,277604,186060,114887,111630,6529462,338905,354424,367779,224173,173021,78995,81472,229550,419320,415989,393400,367467,388786,423648,456184,196456,279127,171133,224562,322625,242044,167203,213199
"44","Rhode Island",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059361,517221,27943,23765,33082,19789,17309,9155,6184,22059,39108,36895,33475,28878,30657,35254,36482,14086,21992,12100,16261,21080,15543,7610,8514,542140,26859,25389,29491,17257,17358,11159,7498,18112,37209,34968,34937,27143,33302,36615,36971,17818,24007,16334,16515,25091,18567,11299,18241
"45","South Carolina",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5148714,2485001,146505,152608,170388,92723,79108,37410,33647,94451,170934,156363,157816,148220,151138,153720,166224,63351,94996,57541,79853,123789,80525,41743,31948,2663713,143032,148104,163897,95043,72684,33553,36018,86339,172777,170683,167327,155241,164126,166058,186664,74882,107146,65029,100790,144317,95958,59121,54924
"46","South Dakota",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,884659,449458,31899,31823,32714,17090,11475,5388,6677,19120,31074,28128,30909,24451,24390,23902,29397,11492,18237,12421,14192,18411,10799,8189,7280,435201,26960,27831,29739,17213,12198,4590,3756,18157,26615,28603,27401,23310,23891,24506,29280,11332,17312,13157,12066,20196,14348,10721,12019
"47","Tennessee",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6829174,3329115,206720,206232,227649,133969,93918,49214,46753,126200,239844,224031,208761,207474,217850,211326,219219,86920,121761,70901,99784,143927,92732,52886,41044,3500059,200306,199141,216262,120473,86875,45096,46284,130120,242741,228262,218227,214697,223096,219923,240925,97607,132333,80928,113294,171356,115821,79971,76321
"48","Texas",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28995881,14385762,1009343,1005288,1124804,627637,437750,217364,211194,586945,1095287,1064791,1032517,956251,916626,842631,835900,312803,441567,266962,329180,458667,294677,174905,142673,14610119,972412,990104,1059976,607067,404902,198905,192172,577468,1048146,1034437,1023022,947629,933997,863591,853199,343454,487975,286035,389301,529196,368819,242724,255588
"50","Vermont",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623989,309164,15010,15511,16892,11435,10570,5557,4406,12058,21823,18076,17976,17463,18047,20354,20504,10118,15579,7791,12659,16181,10256,6432,4466,314825,14011,15693,15030,9977,11179,5065,5020,11017,18775,17975,17511,17865,18833,20969,23703,10211,14575,9706,11231,17786,12433,6432,9828
"49","Utah",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205958,1610671,126468,128358,140959,80557,48002,28386,29290,79608,127932,110674,119611,106738,90360,75935,72194,31471,43322,27778,31546,46574,29279,20368,15261,1595287,119415,129709,126625,78217,48677,22891,25570,81634,122845,110702,112361,104982,86655,76419,75662,31786,46745,26927,36114,50274,35793,23972,21312
"51","Virginia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8535519,4201799,257151,262942,276286,158958,128275,57451,59515,175764,301591,288033,298306,265659,267292,268129,274482,108009,153456,89071,113431,171676,107302,64929,54091,4333720,242755,241123,267208,151182,117581,54439,53956,158176,293599,291432,295073,269114,274443,286030,297415,119229,163129,100850,129647,204966,130130,94347,97896
"53","Washington",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7614893,3807572,233396,234976,243772,136745,95063,50817,51547,148279,303403,299813,279352,244506,238386,227446,230545,100083,138603,85265,108814,153713,98371,56888,47789,3807321,221887,221761,233678,136750,90719,39665,47500,138014,283007,277787,264515,243872,232300,227636,247514,97980,145891,91956,119854,176706,112510,72971,82848
"54","West Virginia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1792147,885861,46664,48286,56691,31522,22433,11398,11930,32784,58292,49731,55869,54659,57090,57431,60187,23496,40161,23376,33613,47660,31037,17235,14316,906286,44884,50208,48229,32334,23474,10092,10258,29874,54356,48888,51637,57734,55063,57108,61288,27431,43265,25247,36352,51278,35424,24068,27794
"55","Wisconsin",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5822434,2892804,167449,171682,190598,115232,80098,43265,41901,112901,193800,184034,191455,168119,173322,186150,204851,81641,120844,66644,96699,124894,79634,52902,44689,2929630,159809,172861,178048,107733,77064,41050,41224,106234,181661,177820,185936,168926,172541,187280,210537,83683,122789,73322,100780,135612,95660,67636,81424
"56","Wyoming",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578759,296005,17807,21515,19151,11403,8617,5523,2816,11794,20550,20433,18824,19399,15925,16545,19319,7123,11977,7597,9545,13235,8878,4544,3485,282754,15291,18956,19815,10251,8340,3197,3529,10907,17580,18086,18130,17318,16108,15232,18282,8138,12089,6976,10307,13014,8807,6260,6141
"72","Puerto Rico",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3193694,1515994,57254,77310,97536,59550,46598,25493,26207,62676,103147,86130,90358,98016,98969,95405,100616,39193,56281,39806,48051,77112,57541,38763,33982,1677700,58149,76590,92126,54219,48093,20334,23641,66183,100825,95428,98495,108323,105577,112972,114903,48288,69144,44937,60960,95626,72877,57164,52846
"17","Illinois",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12671821,6217305,378778,383859,420715,249124,168973,84744,86507,252191,450372,432580,426822,392949,396957,394088,408766,162083,231722,135354,176062,239491,161487,98050,85631,6454516,363626,368997,402534,247046,164382,82653,78297,244701,441242,424129,416045,405363,406280,405044,431988,179689,243214,152996,203879,274233,207445,142344,168389
"13","Georgia",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10617423,5170126,331929,346749,388814,223387,159920,79882,80609,206051,374776,344594,341851,336067,339409,336595,328928,122558,165609,102855,134983,184363,123124,65568,51505,5447297,307784,331264,370111,202991,159852,69457,69918,208483,375265,363961,371562,352454,366014,354996,356428,131870,194093,124125,159996,227400,154694,101504,93075
"16","Idaho",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1787065,898044,59022,64476,66159,41179,24078,10746,13861,38867,61310,56481,58490,56032,51792,50668,52418,22096,33569,19851,25643,39298,24424,15991,11593,889021,56815,60658,63333,37713,22573,13780,10671,32137,59203,57806,58011,53271,49959,49928,52224,25226,33896,21310,28262,39756,28006,17926,16557
"15","Hawaii",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415872,707855,43752,42919,42690,25218,16080,10071,10370,28178,52679,50160,49136,42971,41774,42564,44139,17608,25809,18140,23089,32399,22216,12854,13039,708017,41583,41547,39916,22562,13837,5891,7750,26840,47701,45241,52276,40750,41455,42386,43270,16179,31100,19899,24059,35652,27480,16014,24629
